,0,1
379,Highway maintenance workers,government workers
380,Correspondence clerks and order clerks,waiters and waitresses
381,Supervisors of transportation and material moving workers,government workers
382,"Farmers, ranchers, and other agricultural managers",managers
383,"Agents and business managers of artists, performers, and athletes",business administrators
384,Miscellaneous construction and related workers,government workers
385,First-line supervisors of food preparation and serving workers,government workers
386,Electrical and electronics engineers,engineers
387,Dishwashers,English teachers
388,Telecommunications line installers and repairers,trade and technical teachers
389,Aerospace engineers,engineers
390,Miscellaneous media and communication workers,government workers
391,Elevator installers and repairers,waiters and waitresses
392,Actuaries,secretaries
393,Public relations and fundraising managers,managers
394,"Earth drillers, except oil and gas",waiters and waitresses
395,Tour and travel guides,judges
396,"Tailors, dressmakers, and sewers",marketers
397,"Furnace, kiln, oven, drier, and kettle operators and tenders",trade and technical teachers
398,Fundraisers,underwriters
399,Rail-track laying and maintenance equipment operators,trade and technical teachers
400,"Subway, streetcar, and other rail transportation workers",government workers
401,Secretaries and administrative assistants,secretaries
402,"First-line supervisors of landscaping, lawn service, and groundskeeping workers",government workers
403,"Financial specialists, all other",financial officers
404,"Buyers and purchasing agents, farm products",agents
405,Atmospheric and space scientists,scientists
406,"Miscellaneous community and social service specialists, including health educators and community health workers",government workers
407,"Brickmasons, blockmasons, stonemasons, and reinforcing iron and rebar workers",government workers
408,"Electric motor, power tool, and related repairers",trade and technical teachers
409,Compliance officers,financial officers
410,Elementary and middle school teachers,teachers
411,"Sawing machine setters, operators, and tenders, wood",trade and technical teachers
412,Pharmacy aides,drivers
413,"Surveyors, cartographers, and photogrammetrists",surveyors
414,Actors,actors
415,"Office clerks, general",police
416,Millwrights,writers
417,Pharmacists,Artists
418,"Machine tool cutting setters, operators, and tenders, metal and plastic",trade and technical teachers
419,Drafters,craft workers
420,"Miscellaneous transportation workers, including bridge and lock tenders and traffic technicians",government workers
421,Electricians,electricians
422,Cleaners of vehicles and equipment,waiters and waitresses
423,Military officer special and tactical operations leaders,Military
424,Motion picture projectionists,receptionists
425,Logging workers,personal service workers
426,Ship and boat captains and operators,waiters and waitresses
427,"Unemployed, with no work experience in the last 5 years or earlier or never worked",police/detective work
428,Automotive body and related repairers,waiters and waitresses
429,Web developers,laborers
430,"Metal furnace operators, tenders, pourers, and casters",trade and technical teachers
431,Computer network architects,computer analysts
432,"First-line supervisors of mechanics, installers, and repairers",mechanics
433,Payroll and timekeeping clerks,clergy
434,Janitors and building cleaners,auditors
435,"Dredge, excavating, and loading machine operators",trade and technical teachers
436,Emergency medical technicians and paramedics,technicians
437,"Food and tobacco roasting, baking, and drying machine operators and tenders",trade and technical teachers
438,Podiatrists,Artists
439,Marketing and sales managers,managers
440,Flight attendants,agents
441,Environmental engineers,engineers
442,Tool and die makers,marketers
443,Small engine mechanics,mechanics
444,Advertising and promotions managers,managers
445,Conservation scientists and foresters,scientists
446,Training and development managers,managers
447,"Sales and related workers, all other",sales representatives
448,Bus drivers,drivers
449,"Industrial engineers, including health and safety",engineers
